fraud_mechanism,fraud_claims,mean_score,median_score,p25_score,p75_score
customer_provider_pattern,66,0.7862793,0.97704643,0.9492208659648895,0.9890249073505402
mixed_pattern,68,0.513581,0.54479444,0.014129486866295338,0.9844594597816467
repeated_service,58,0.48743355,0.4352436,0.0538571672514081,0.9668550491333008
frequency_abuse,71,0.30841073,0.22923727,0.034282682463526726,0.45302025973796844
provider_abnormality,71,0.26926407,0.1772435,0.030946560204029083,0.48838478326797485
amount_inflation,75,0.037162695,0.019987876,0.010883496142923832,0.04344290681183338
